val,perc,sel_perc
1074.5,2.01,2
947.76,4,4
863.63,6,6
807.77,7.99,8
764.46,10,10
728.36,12.01,12
697.68,14,14
670.16,16,16
645.12,17.99,18
621.64,20,20
599.25,22.01,22
577.67,24,24
556.73,26,26
536.9,27.99,28
517.86,30,30
499.82,32.01,32
482.8,34,34
466.61,36,36
451.31,37.99,38
436.57,40,40
422.52,42.01,42
409.21,44,44
396.5,46,46
384.58,47.99,48
373.21,50,50
362.47,52.01,52
352.36,54,54
342.69,56,56
333.6,57.99,58
324.89,60,60
316.59,62.01,62
308.73,64,64
301.18,66,66
294.05,67.99,68
287.19,70,70
280.64,72.01,72
274.41,74,74
268.4,76,76
262.67,77.99,78
257.13,80,80
251.79,82.01,82
246.7,84,84
241.77,86,86
237.06,87.99,88
232.47,90,90
228.05,92.01,92
223.8,94,94
219.64,96,96
215.62,97.99,98
211.67,100,100
